Title,Year,Director,Studio,Genre
The Hero: Love Story of a Spy,2003,Anil Sharma,,"Drama, Action, Thriller"
Humein Tumse Pyar Ho Gaya Chupke Chupke,2003,Pramod Mandloi,,"Romance, Drama"
Hungama,2003,Priyadarshan,,Comedy
Indian Babu,2003,Lawrence D'Souza,,Drama
Inteha,2003,Vikram Bhatt,,"Drama, Thriller"
Ishq Vishk,2003,Ken Ghosh,,Romance
Jaal: The Trap,2003,Guddu Dhanoa,,"Action, Romance"
Jajantaram Mamantaram,2003,Soumitra Ranade,,Fantasy
Janasheen,2003,Feroz Khan,,Thriller
Jhankaar Beats,2003,Sujoy Ghosh,,"Drama, Musical"
Jism,2003,Anurag Basu,,"Drama, Romance, Thriller"
Jodi Kya Banayi Wah Wah Ramji,2003,Raman Kumar,,Drama
Joggers Park,2003,Anant Balani,,Drama
Kagaar: Life on the Edge,2003,N. Chandra,,"Crime, Drama"
Kahan Ho Tum,2003,Vijay Kumar,,Thriller
Kaise Kahoon Ke... Pyaar Hai,2003,,,"Crime, Romance"
Kal Ho Naa Ho,2003,Nikhil Advani,,"Drama, Romance, Comedy, Family, Musical"
Kash Aap Hamare Hote,2003,Ravindra Peepat,,Romance
Khanjar: The Knife,2003,Chander Sharma,,Action
Khel – No Ordinary Game,2003,Yusuf Khan,,Thriller
Khushi,2003,S. J. Suryah,,Romance
Khwahish,2003,Govind Menon,,Drama
Koi... Mil Gaya,2003,Rakesh Roshan,,"Romance, Fantasy, Musical"
Kucch To Hai,2003,Anurag Basu,,Thriller
Kuch Naa Kaho,2003,Rohan Sippy,,"Drama, Romance, Musical"
LOC: Kargil,2003,J. P. Dutta,,"War, Drama, History"
Love at Times Square,2003,,,Drama
Main Madhuri Dixit Banna Chahti Hoon,2003,Chandan Arora,,Comedy
Main Prem Ki Diwani Hoon,2003,Sooraj R. Barjatya,,"Romance, Drama, Comedy"
Market,2003,Jay Prakash,,"Crime, Drama"
Mudda: The Issue,2003,Saurabh Shukla,,Drama
Mumbai Matinee,2003,Anant Balani,,"Romance,Comedy"
Mumbai Se Aaya Mera Dost,2003,Apoorva Agnihotri,,Drama
Munna Bhai M.B.B.S.,2003,Rajkumar Hirani,,"Comedy, Musical"
Nayee Padosan,2003,B. H. Tharun Kumar,,Comedy
Om,2003,Ashok Honda,,Action
Oops!,2003,Deepak Tijori,,"Drama, Comedy"
Out of Control,2003,"Apurva Asrani , Ramanjit Juneja",,"Comedy, Romance"
Paap,2003,Pooja Bhatt,,"Thriller, Crime"
Parwana,2003,Deepak Bahry,,"Action, Drama, Thriller"
Patth,2003,Shivram Yadav,,Drama
Pinjar,2003,Chandrakant Dwivedi,,"Drama"
Gulabi Aaina,2003,Sridhar Rangayan,,"Comedy,Short"
Praan Jaye Par Shaan Na Jaye,2003,Sanjay Manjrekar,,Comedy
Qayamat: City Under Threat,2003,Harry Baweja,,Thriller
Raghu Romeo,2003,Rajat Kapoor,,Drama
Raja Bhaiya,2003,Raman Kumar,,Comedy
"Right Here, Right Now",2003,Anand Gandhi,,"Comedy, Drama, Short"
Rules: Pyaar Ka Superhit Formula,2003,Parvati Balagopalan,,"Romance, Comedy"
Saaya,2003,Anurag Basu,,Drama
Samay: When Time Strikes,2003,Robby Grewal,,Thriller
Satta,2003,Madhur Bhandarkar,,"Crime, Drama "
Sssshhh...,2003,Pawan S. Kaul,,Thriller
Stumped,2003,Gaurav Pandey,,"Comedy, Drama, Sport"
Supari,2003,Padam Kumar,,"Action, Crime, Drama"
Tada,2003,Sisir. P. Mishra,,"Action, Drama, Musical"
Talaash: The Hunt Begins...,2003,Suneel Darshan,,Thriller
Tehzeeb,2003,Khalid Mohamed,,Drama
Tere Naam,2003,Satish Kaushik,,"Drama, Romance"
The Perfect Husband,2003,Priya Singh Paul,,Drama
Tujhe Meri Kasam,2003,K. Vijaya Bhaskar,,Romance
Tumse Milke Wrong Number,2003,Jignesh M. Vaishav,,Thriller
Waisa Bhi Hota Hai Part II,2003,Shashanka Ghosh,,"Action,Drama"
Xcuse Me,2003,N. Chandra,,Comedy
Yeh Dil,2003,Teja,,"Romance, Drama"
Zameen,2003,Rohit Shetty,,Thriller

Aabra Ka Daabra,2004,Dheeraj Kumar,,Fantasy
Aan: Men at Work,2004,Madhur Bhandarkar,,Action
Ab... Bas!,2004,Rajesh Singh,,Thriller
Ab Tak Chappan,2004,Shimit Amin,,"Crime, Drama"
Ab Tumhare Hawale Watan Saathiyo,2004,Anil Sharma,,"War, Drama"
Aetbaar,2004,Vikram Bhatt,,Thriller
Agnipankh,2004,Sanjeev Puri,,"Action, Drama, Romance"
Aitraaz,2004,Abbas–Mustan,,"Drama, Romance, Thriller"
AK-47,2004,Raam Shetty,,Action
Asambhav,2004,Rajiv Rai,,"Mystery, Thriller"
Bardaasht,2004,E.Nivas,,"Action, Drama, Thriller"
Bhola in Bollywood,2004,Sumbul Gazi,,Comedy
Chameli,2004,Sudhir Mishra,,Drama
Chand Bujh Gaya,2004,Sharique Minhaj,,Romance
Charas,2004,Tigmanshu Dhulia,,Action
Deewaar,2004,Milan Luthria,,Drama
Dev,2004,Govind Nihalani,,Drama
Dhoom,2004,Sanjay Gadhvi,,"Thriller, Action"
Dil Bechara Pyaar Ka Maara,2004,Omkarnath Mishra,,Comedy
Dil Maange More,2004,Anant Mahadevan,,"Romance, Comedy"
Dil Ne Jise Apna Kahaa,2004,Atul Agnihotri,,"Drama, Romance"
Dobara,2004,Shashi Ranjan,,Drama
Dukaan,2004,Iqbal Durrani,,"Drama,Romance"
Ek Se Badhkar Ek,2004,Kundan Shah,,Comedy
Ek Hasina Thi,2004,Sriram Raghavan,,"Thriller, Drama"
Fida,2004,Ken Ghosh,,"Drama, Romance, Thriller"
Garv,2004,Puneet Issar,,Drama
Gayab,2004,Prawal Raman,,"Fantasy, Thriller"
Girlfriend,2004,Karan Razdan,,"Drama, Romance"
Hatya,2004,Kader Kashmiri,,Fantasy
Hava Aney Dey,2004,Partho Sen-Gupta,,Drama
Hawas,2004,Karan Razdan,, Thriller
Hulchul,2004,Priyadarshan,,"Comedy, Drama, Romance, Family"
Hum Tum,2004,Kunal Kohli,,"Comedy, Romance, Drama, Musical"
Hyderabad Blues 2,2004,Nagesh Kukunoor,,Drama
I Proud to Be an Indian,2004,Puneet Issar,,"Action, Romance"
Insaaf: The Justice,2004,Shrey Srivastava,,Action
Inteqam: The Perfect Game,2004,Pankaj Parashar,,Action
Ishq Hai Tumse,2004,G. Krishna,,Drama
Jaago,2004,Mrhul Kumar,,"Crime, Thriller"
Julie,2004,Deepak Shivdasani,,Drama
Kaash... Hamara Dil Pagal Na Hota,2004,Mangal Anand,,Drama
Kaun Hai Jo Sapno Mein Aaya,2004,Rajesh Bhatt,,Romance
Kaya Taran,2004,Sashi Kumar,,Drama
Khakee,2004,Rajkumar Santoshi,,"Action, Thriller"
Khamosh Pani,2004,Sabiha Kumar,,Drama
King of Bollywood,2004,Piyush Jha,,Comedy
Kis Kis Ki Kismat,2004,Govind Menon,,Comedy
Kismat,2004,Guddu Dhanoa,,Thriller
Kiss Kis Ko,2004,Sharad Sharan,,"Action,Comedy"
Krishna Cottage,2004,Santram Varma,,Thriller
Kyun! Ho Gaya Na...,2004,Samir Karnik,,"Romance, Drama, Comedy"
Lakeer – Forbidden Lines,2004,Ahmed Khan,,"Action, Drama, Romance"
Lakshya,2004,Farhan Akhtar,,"War, Drama, Action, Romance"
Let's Enjoy,2004,"Ankur Tewari , Siddharth Anand Kumar",,Comedy
Madhoshi,2004,Tanveer Khan,,"Drama, Romance, Thriller"
Main Hoon Na,2004,Farah Khan,,"Action, Musical, Drama, Comedy"
Maqbool,2004,Vishal Bhardwaj,,"Mystery, Drama"
Masti,2004,Indra Kumar,,Comedy
Meenaxi: A Tale of Three Cities,2004,M. F. Hussain,,"Romance, Musical,Drama"
Meri Biwi Ka Jawaab Nahin,2004,"S. M. Iqbal , Pankaj Parashar",,"Action, Comedy, Romance"
Mujhse Shaadi Karogi,2004,David Dhawan,,"Comedy, Romance, Musical"
Murder,2004,Anurag Basu,,"Thriller, Romance"
Musafir,2004,Sanjay Gupta,,Thriller
Muskaan,2004,"Rohit Nayyar , Rohit Manash",,"Romance, Drama"
Mysteries Shaque,2004,"Vinod Chhabara ,",,"Action, Thriller"
Naach,2004,Ram Gopal Varma,,Drama
Netaji Subhas Chandra Bose: The Forgotten Hero,2004,Shyam Benegal,,"War, Biography"
Paap,2004,Pooja Bhatt,,Drama
Paisa Vasool,2004,Srinivas Bhashyam,,"Action, Comedy, Crime"
Phir Milenge,2004,Revathy,,Drama
Plan,2004,Hriday Shetty,,Action
Police Force: An Inside Story,2004,Dilip Shukla,,Action
Popcorn Khao! Mast Ho Jao,2004,Kabir Sadanand,,"Comedy, Drama, Romance"
Raincoat,2004,Rituparno Ghosh,,Drama
Rakht,2004,Mahesh Manjrekar,,Horror
Rok Sako To Rok Lo,2004,Arindam Chowdhury,,"Sport,Comedy"
